"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"RNF125",-3.3335,0.000872960938060031,0.00774465276047294,0,0.215,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0490496534940118,0.00124846221215403,2.90362459812749,"Weakly structured"
"NHEJ1",-3.3238,0.00116864060292387,0.00989438731515887,0,0.207,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0811654000613996,2.78624759357608e-07,6.55498029360263,"Weakly structured"
"AL360012.1",3.3007,4.44373756186755e-08,1.29791631572994e-06,0.146,0.018,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.011492503289652,0.228756023628846,0.640627461220747,"Not structured"
"APLF",3.3007,0.000124365120997513,0.00151379923208486,0.073,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.0110304008609094,0.747855161281831,0.126182504738373,"Not structured"
"CD1C",3.3007,0.000124365120997513,0.00151379923208486,0.073,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0121065375302664,0.213565418052945,0.670469069830195,"Not structured"
"CST1",3.3007,2.20664618728332e-16,3.48513884863155e-14,0.244,0.022,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.170227482505885,5.47043240022144e-27,26.2619783443049,"Weakly structured"
"HBG1",3.3007,2.19354472935206e-05,0.000340145669364859,0.073,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.058663516947636,5.97317186040231e-05,4.22379498953041,"Weakly structured"
"KLHDC8A",3.3007,0.000124365120997513,0.00151379923208486,0.073,0.009,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.062012375571697,3.80000418015162e-05,4.42021592564219,"Weakly structured"
"MARCO",3.3007,2.3179577195306e-07,5.71360946164834e-06,0.122,0.014,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0279890702311493,0.0383566594149985,1.41615922373306,"Weakly structured"
"SYN1",3.3007,5.62293773630488e-05,0.000770173902147199,0.073,0.008,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.109588147628746,8.03374694836691e-13,12.095081852049,"Weakly structured"
"TWIST1",3.3007,2.36371168919697e-06,4.65931643141709e-05,0.098,0.011,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.0138425640218325,0.800724907534722,0.0965166620178148,"Not structured"
"PLCE1",-3.2993,1.1044523761837e-05,0.000185180330911115,0.024,0.361,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0863678013949205,5.12837498068119e-08,7.29002022723207,"Weakly structured"
"LINC01781",3.2779,2.69739935029907e-15,3.02700262178737e-13,0.341,0.05,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0967626575523481,9.8235673529668e-10,9.00773077286788,"Weakly structured"
"PKDCC",-3.2742,0.00133654184835088,0.0111317577252297,0,0.203,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0270393305704671,0.0467172627196304,1.33052261154177,"Weakly structured"
"ZG16",-3.2427,7.71359980131459e-14,6.40779754923491e-12,0.854,0.936,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.826340189632694,0,572.713505042866,"Spatially structured"
